"name	category	area	address	lat	lon	phone	email	website	facebook	instagram	tiktok	twitter	opening_hours	happy_hour_status	happy_hour_details	happy_hour_timings	confidence	sources	source_urls	evidence_text"
"Sal Punjab Bar	bar	Bandra West		19.0470902	72.8548738									candidate			0.43	overpass_osm	https://www.openstreetmap.org/node/12811690387 | https://www.openstreetmap.org/way/1374675263	Sal Punjab Bar bar",,,,,,,,,,,,,,,,,,,,
"The Bar Stock exchange	bar	Bandra West		19.0246598	72.8355266									candidate			0.43	overpass_osm	https://www.openstreetmap.org/node/11364283729 | https://www.openstreetmap.org/node/11451935573 | https://www.openstreetmap.org/node/11844937156 | https://www.openstreetmap.org/node/12593720909	THE BAR STOCK EXCHANGE bar || The Bar Stock Exchange bar || The Bar Stock Exchange pub || The Bar Stock exchange bar",,,,,,,,,,,,,,,,,,,,
"The Irish House	bar	Bandra West	""Dr Ambedkar Road", Bandra West, Bandra, Mumbai," 400050""	19.0654253	72.8616003	+91 22 26400166		https://www.theirishhouse.in/					Mo-Su 12:00-01:00	candidate			0.43	overpass_osm	https://www.openstreetmap.org/node/11452007275 | https://www.openstreetmap.org/node/12395612693 | https://www.openstreetmap.org/node/12395684114 | https://www.openstreetmap.org/node/2171353470	""The Irish House bar || The Irish House pub Dr Ambedkar Road", Bandra West, Bandra, Mumbai," 400050 || The Irish House restaurant""",,,,,,,,,,,,
"Bora Bora	pub	Mumbai	155	19.0620822	72.8343202									candidate			0.43	overpass_osm	https://www.openstreetmap.org/node/12786049458 | https://www.openstreetmap.org/node/5282101321	Bora Bora pub 155 || Bora Bora restaurant",,,,,,,,,,,,,,,,,,,,
"Gateway Taproom	pub	Bandra West	5	19.0592716	72.8651694			https://gatewaytaprooms.com/kalaghoda.html						candidate			0.43	overpass_osm	https://www.openstreetmap.org/node/10779234900 | https://www.openstreetmap.org/node/11542372406	Gateway Taproom pub || Gateway Taproom restaurant 5",,,,,,,,,,,,,,,,,,,,
"Lord of the Drinks	pub	Lower Parel		19.0057816	72.8266271								Mo-Su 12:00-01:30	candidate			0.43	overpass_osm	https://www.openstreetmap.org/node/11375956201 | https://www.openstreetmap.org/node/12521469029	Lord of the Drinks bar || Lord of the Drinks pub",,,,,,,,,,,,,,,,,,,,
"Pop Tate's	pub	Juhu	""Samata Nagar", eastern express way, Thane (West)," 400606""	19.1300887	72.8214871	8291823484		https://poptates.co.in/poptates-korum-mall/					Mo-Su 11:30-1:00	candidate			0.43	overpass_osm	https://www.openstreetmap.org/node/10925550784 | https://www.openstreetmap.org/node/12942048938 | https://www.openstreetmap.org/node/2730534301 | https://www.openstreetmap.org/node/5591599043	""Pop Tate's bar || Pop Tate's pub || Pop Tate's restaurant || Poptate's restaurant Samata Nagar", eastern express way, Thane (West)," 400606""",,,,,,,,,,,,,,
"8ish	bar	Colaba		18.9280021	72.8223632									candidate			0.38	overpass_osm	https://www.openstreetmap.org/node/13392180287	8ish bar",,,,,,,,,,,,,,,,,,,,
"ASILO	bar	Mumbai	""462", Senapati Bapat Marg, Mumbai," 400013""	18.9940013	72.8241036	+1 345 356 80		https://www.jsmcorp.in					Mo-Su 16:30-01:00	candidate			0.38	overpass_osm	https://www.openstreetmap.org/node/7062918791	""ASILO bar 462", Senapati Bapat Marg, Mumbai," 400013""",,,,,,,,,,,,,,
"Aer	bar	Mumbai	Mumbai	18.9940904	72.8203077			https://www.fourseasons.com/mumbai/dining/lounges/aer					Mo-Su 17:00-01:30	candidate			0.38	overpass_osm	https://www.openstreetmap.org/node/7062900183	Aer bar Mumbai",,,,,,,,,,,,,,,,,,,,
"Anthem Lounge	bar	Powai	""Opp Powai Lake", near Shipping Corporation, JVLR Road, Powai, Mumbai," 400076""	19.1240233	72.896749								Mo-Su 11:00-02:30	candidate			0.38	overpass_osm	https://www.openstreetmap.org/node/8448955040	""Anthem Lounge bar Opp Powai Lake", near Shipping Corporation, JVLR Road, Powai, Mumbai," 400076""",,,,,,,,,,
"Bonobo	bar	Bandra West		19.0654946	72.8336758									candidate			0.38	overpass_osm	https://www.openstreetmap.org/node/4286109595	Bonobo bar",,,,,,,,,,,,,,,,,,,,
"Brenco Breweries	bar	Khar	""101", Shri Ramesh Chavkute Lane, Khar Danda Koliwada," 400052""	19.0761513	72.8272545								24-Jul	candidate			0.38	overpass_osm	https://www.openstreetmap.org/node/8347805191	""Brenco Breweries bar 101", Shri Ramesh Chavkute Lane, Khar Danda Koliwada," 400052""",,,,,,,,,,,,,,
"Canara Bar and Restaurant	bar	Bandra	""Ramdas Naik Road", Bandra, Mumbai," 400050""	19.0571775	72.8356394									candidate			0.38	overpass_osm	https://www.openstreetmap.org/node/4345483721	""Canara Bar and Restaurant bar Ramdas Naik Road", Bandra, Mumbai," 400050""",,,,,,,,,,,,,,
"Champagne Lounge	bar	Colaba		18.9270352	72.8202985									candidate			0.38	overpass_osm	https://www.openstreetmap.org/node/13392180285	Champagne Lounge bar",,,,,,,,,,,,,,,,,,,,
"Cheers Restro Bar	bar	Bandra West		19.0471045	72.8628054									candidate			0.38	overpass_osm	https://www.openstreetmap.org/node/11449426487	Cheers Restro Bar bar",,,,,,,,,,,,,,,,,,,,
"Colaba SOCIAL	bar	Mumbai	""24", B.K. Boman Behram Road, Mumbai," 400001""	18.9217405	72.8323576	+91 7506394239							Mo-Su 09:00-1:30	candidate			0.38	overpass_osm	https://www.openstreetmap.org/node/13227676860	""Colaba SOCIAL bar 24", B.K. Boman Behram Road, Mumbai," 400001""",,,,,,,,,,,,,,
"Craftbar	bar	Bandra West		19.0606802	72.8518398									candidate			0.38	overpass_osm	https://www.openstreetmap.org/node/12696004078	Craftbar bar",,,,,,,,,,,,,,,,,,,,
"Deepa Bar	bar	Mumbai	""Lokmanya Tilak Road"," 400068""	19.2486055	72.8588843									candidate			0.38	overpass_osm	https://www.openstreetmap.org/way/1121231490	""Deepa Bar bar Lokmanya Tilak Road"," 400068""",,,,,,,,,,,,,,,,,,
"Disha Restaurant & Bar	bar	Malad		19.2147955	72.8283508									candidate			0.38	overpass_osm	https://www.openstreetmap.org/node/9374409846	Disha Restaurant & Bar bar",,,,,,,,,,,,,,,,,,,,
"Door No. 1	bar	Mumbai	""Mumbai"," 400050""	19.0488947	72.828595	022 6535 5355		https://www.facebook.com/DoorNo1Bar					Mo-Su 11:00-01:30	candidate			0.38	overpass_osm	https://www.openstreetmap.org/node/5246971916	""Door No. 1 bar Mumbai"," 400050""",,,,,,,,,,,,,,,,,,
"Eau Bar	bar	Colaba		18.9269367	72.8202119									candidate			0.38	overpass_osm	https://www.openstreetmap.org/node/13392180282	Eau Bar bar",,,,,,,,,,,,,,,,,,,,
"Eddie's Cafe and Bar	bar	Bandra West		19.0656428	72.8307398									candidate			0.38	overpass_osm	https://www.openstreetmap.org/node/13335658516	Eddie's Cafe and Bar bar",,,,,,,,,,,,,,,,,,,,
"Effingut	bar	Colaba		18.9242209	72.8332106	-7620038797		https://www.effingut.com/microbrewery-in-mumbai/					Mo-Su 12:00-01:30	candidate			0.38	overpass_osm	https://www.openstreetmap.org/node/5856668585	Effingut bar",,,,,,,,,,,,,,,,,,,,
"Gokul Bar & Wine shop	bar	Colaba		18.9231106	72.8322376									candidate			0.38	overpass_osm	https://www.openstreetmap.org/way/40388243	Gokul Bar & Wine shop bar",,,,,,,,,,,,,,,,,,,,
"Golden Crown	bar	Lower Parel		18.9623007	72.8118145									candidate			0.38	overpass_osm	https://www.openstreetmap.org/node/477241951	Golden Crown bar",,,,,,,,,,,,,,,,,,,,
"Harry's Bar and Cafe	bar	Powai		19.1169366	72.9097379									candidate			0.38	overpass_osm	https://www.openstreetmap.org/node/6810831554	Harry's Bar and Cafe bar",,,,,,,,,,,,,,,,,,,,
